site,variety,yield_1931,yield_1932
Crookston,Glabron,38.13,26.17
Duluth,Glabron,29.67,25.87
Grand Rapids,Glabron,29.13,14.43
Morris,Glabron,28.77,35.13
University Farm,Glabron,43.07,36.8
Waseca,Glabron,55.2,37.73
Crookston,Manchuria,39.93,32.97
Duluth,Manchuria,28.97,22.57
Grand Rapids,Manchuria,32.97,22.13
Morris,Manchuria,27.43,34.37
University Farm,Manchuria,27,26.9
Waseca,Manchuria,48.87,33.47
Crookston,No. 457,45.67,34.33
Duluth,No. 457,33.6,22.7
Grand Rapids,No. 457,32.17,19.47
Morris,No. 457,28.7,43.53
University Farm,No. 457,43.27,26.43
Waseca,No. 457,58.1,42.2
Crookston,No. 462,48.57,30.53
Duluth,No. 462,28.1,22.5
Grand Rapids,No. 462,24.93,19.9
Morris,No. 462,30.37,47
University Farm,No. 462,36.6,25.57
Waseca,No. 462,65.77,44.7
Crookston,No. 475,44.1,32.13
Duluth,No. 475,33.07,27.37
Grand Rapids,No. 475,19.7,15.23
Morris,No. 475,22.6,44.23
University Farm,No. 475,24.67,30
Waseca,No. 475,46.77,41.27
Crookston,Peatland,41.6,25.23
Duluth,Peatland,32,31.37
Grand Rapids,Peatland,34.7,26.77
Morris,Peatland,29.87,43.2
University Farm,Peatland,32.77,28.07
Waseca,Peatland,48.57,36.03
Crookston,Svansota,40.47,20.63
Duluth,Svansota,25.7,22.23
Grand Rapids,Svansota,29.67,16.63
Morris,Svansota,25.77,35.03
University Farm,Svansota,35.13,27.43
Waseca,Svansota,47.33,38.5
Crookston,Trebi,46.93,41.83
Duluth,Trebi,33.93,30.6
Grand Rapids,Trebi,29.77,20.63
Morris,Trebi,43.77,46.63
University Farm,Trebi,36.57,29.07
Waseca,Trebi,63.83,49.23
Crookston,Velvet,41.33,32.07
Duluth,Velvet,26.3,22.47
Grand Rapids,Velvet,23.03,32.23
Morris,Velvet,26.13,38.83
University Farm,Velvet,39.9,26.8
Waseca,Velvet,50.23,37.4
Crookston,Wisconsin No. 38,49.87,35.9
Duluth,Wisconsin No. 38,31.6,29.33
Grand Rapids,Wisconsin No. 38,34.47,20.67
Morris,Wisconsin No. 38,29.47,47.17
University Farm,Wisconsin No. 38,39.3,38
Waseca,Wisconsin No. 38,58.8,58.17
