,site,variety,yield_1931,yield_1932,pct_chg,diff,NewCol
3,Grand Rapids,Glabron,29.1,14.4,-50.5,-14.7,Grand Rapids: Glabron
37,Crookston,Svansota,40.5,20.6,-49.1,-19.8,Crookston: Svansota
39,Grand Rapids,Svansota,29.7,16.6,-44.1,-13,Grand Rapids: Svansota
57,Grand Rapids,Wisconsin No. 38,34.5,20.7,-40.0,-13.8,Grand Rapids: Wisconsin No. 38
15,Grand Rapids,No. 457,32.2,19.5,-39.4,-12.7,Grand Rapids: No. 457
31,Crookston,Peatland,41.6,25.2,-39.4,-16.4,Crookston: Peatland
17,University Farm,No. 457,43.3,26.4,-39.0,-16.8,University Farm: No. 457
19,Crookston,No. 462,48.6,30.5,-37.2,-18,Crookston: No. 462
9,Grand Rapids,Manchuria,33,22.1,-33.0,-10.8,Grand Rapids: Manchuria
53,University Farm,Velvet,39.9,26.8,-32.8,-13.1,University Farm: Velvet
14,Duluth,No. 457,33.6,22.7,-32.4,-10.9,Duluth: No. 457
24,Waseca,No. 462,65.8,44.7,-32.1,-21.1,Waseca: No. 462
6,Waseca,Glabron,55.2,37.7,-31.7,-17.5,Waseca: Glabron
12,Waseca,Manchuria,48.9,33.5,-31.5,-15.4,Waseca: Manchuria
1,Crookston,Glabron,38.1,26.2,-31.2,-12,Crookston: Glabron
45,Grand Rapids,Trebi,29.8,20.6,-30.9,-9.1,Grand Rapids: Trebi
23,University Farm,No. 462,36.6,25.6,-30.1,-11,University Farm: No. 462
55,Crookston,Wisconsin No. 38,49.9,35.9,-28.1,-14,Crookston: Wisconsin No. 38
18,Waseca,No. 457,58.1,42.2,-27.4,-15.9,Waseca: No. 457
25,Crookston,No. 475,44.1,32.1,-27.2,-12,Crookston: No. 475
36,Waseca,Peatland,48.6,36,-25.9,-12.5,Waseca: Peatland
54,Waseca,Velvet,50.2,37.4,-25.5,-12.8,Waseca: Velvet
13,Crookston,No. 457,45.7,34.3,-24.9,-11.3,Crookston: No. 457
48,Waseca,Trebi,63.8,49.2,-22.9,-14.6,Waseca: Trebi
27,Grand Rapids,No. 475,19.7,15.2,-22.8,-4.5,Grand Rapids: No. 475
33,Grand Rapids,Peatland,34.7,26.8,-22.8,-7.9,Grand Rapids: Peatland
49,Crookston,Velvet,41.3,32.1,-22.3,-9.3,Crookston: Velvet
8,Duluth,Manchuria,29,22.6,-22.1,-6.4,Duluth: Manchuria
41,University Farm,Svansota,35.1,27.4,-21.9,-7.7,University Farm: Svansota
47,University Farm,Trebi,36.6,29.1,-20.5,-7.5,University Farm: Trebi
21,Grand Rapids,No. 462,24.9,19.9,-20.1,-5,Grand Rapids: No. 462
20,Duluth,No. 462,28.1,22.5,-19.9,-5.6,Duluth: No. 462
42,Waseca,Svansota,47.3,38.5,-18.6,-8.8,Waseca: Svansota
7,Crookston,Manchuria,39.9,33,-17.3,-7,Crookston: Manchuria
26,Duluth,No. 475,33.1,27.4,-17.2,-5.7,Duluth: No. 475
5,University Farm,Glabron,43.1,36.8,-14.6,-6.3,University Farm: Glabron
50,Duluth,Velvet,26.3,22.5,-14.4,-3.8,Duluth: Velvet
35,University Farm,Peatland,32.8,28.1,-14.3,-4.7,University Farm: Peatland
38,Duluth,Svansota,25.7,22.2,-13.6,-3.5,Duluth: Svansota
2,Duluth,Glabron,29.7,25.9,-12.8,-3.8,Duluth: Glabron
30,Waseca,No. 475,46.8,41.3,-11.8,-5.5,Waseca: No. 475
43,Crookston,Trebi,46.9,41.8,-10.9,-5.1,Crookston: Trebi
44,Duluth,Trebi,33.9,30.6,-9.7,-3.3,Duluth: Trebi
56,Duluth,Wisconsin No. 38,31.6,29.3,-7.3,-2.3,Duluth: Wisconsin No. 38
59,University Farm,Wisconsin No. 38,39.3,38,-3.3,-1.3,University Farm: Wisconsin No. 38
32,Duluth,Peatland,32,31.4,-1.9,-0.6,Duluth: Peatland
60,Waseca,Wisconsin No. 38,58.8,58.2,-1.0,-0.6,Waseca: Wisconsin No. 38
11,University Farm,Manchuria,27,26.9,-0.4,-0.1,University Farm: Manchuria
46,Morris,Trebi,43.8,46.6,6.4,2.9,Morris: Trebi
29,University Farm,No. 475,24.7,30,21.5,5.3,University Farm: No. 475
4,Morris,Glabron,28.8,35.1,21.9,6.4,Morris: Glabron
10,Morris,Manchuria,27.4,34.4,25.5,6.9,Morris: Manchuria
40,Morris,Svansota,25.8,35,35.7,9.3,Morris: Svansota
51,Grand Rapids,Velvet,23,32.2,40.0,9.2,Grand Rapids: Velvet
34,Morris,Peatland,29.9,43.2,44.5,13.3,Morris: Peatland
52,Morris,Velvet,26.1,38.8,48.7,12.7,Morris: Velvet
16,Morris,No. 457,28.7,43.5,51.6,14.8,Morris: No. 457
22,Morris,No. 462,30.4,47,54.6,16.6,Morris: No. 462
58,Morris,Wisconsin No. 38,29.5,47.2,60.0,17.7,Morris: Wisconsin No. 38
28,Morris,No. 475,22.6,44.2,95.6,21.6,Morris: No. 475
