NewCol,pct_chg,yield,value
Grand Rapids: Glabron,-50.5,1931,29.1
Crookston: Svansota,-49.1,1931,40.5
Grand Rapids: Svansota,-44.1,1931,29.7
Grand Rapids: Wisconsin No. 38,-40,1931,34.5
Grand Rapids: No. 457,-39.4,1931,32.2
Crookston: Peatland,-39.4,1931,41.6
University Farm: No. 457,-39,1931,43.3
Crookston: No. 462,-37.2,1931,48.6
Grand Rapids: Manchuria,-33,1931,33
University Farm: Velvet,-32.8,1931,39.9
Duluth: No. 457,-32.4,1931,33.6
Waseca: No. 462,-32.1,1931,65.8
Waseca: Glabron,-31.7,1931,55.2
Waseca: Manchuria,-31.5,1931,48.9
Crookston: Glabron,-31.2,1931,38.1
Grand Rapids: Trebi,-30.9,1931,29.8
University Farm: No. 462,-30.1,1931,36.6
Crookston: Wisconsin No. 38,-28.1,1931,49.9
Waseca: No. 457,-27.4,1931,58.1
Crookston: No. 475,-27.2,1931,44.1
Waseca: Peatland,-25.9,1931,48.6
Waseca: Velvet,-25.5,1931,50.2
Crookston: No. 457,-24.9,1931,45.7
Waseca: Trebi,-22.9,1931,63.8
Grand Rapids: No. 475,-22.8,1931,19.7
Grand Rapids: Peatland,-22.8,1931,34.7
Crookston: Velvet,-22.3,1931,41.3
Duluth: Manchuria,-22.1,1931,29
University Farm: Svansota,-21.9,1931,35.1
University Farm: Trebi,-20.5,1931,36.6
Grand Rapids: No. 462,-20.1,1931,24.9
Duluth: No. 462,-19.9,1931,28.1
Waseca: Svansota,-18.6,1931,47.3
Crookston: Manchuria,-17.3,1931,39.9
Duluth: No. 475,-17.2,1931,33.1
University Farm: Glabron,-14.6,1931,43.1
Duluth: Velvet,-14.4,1931,26.3
University Farm: Peatland,-14.3,1931,32.8
Duluth: Svansota,-13.6,1931,25.7
Duluth: Glabron,-12.8,1931,29.7
Waseca: No. 475,-11.8,1931,46.8
Crookston: Trebi,-10.9,1931,46.9
Duluth: Trebi,-9.7,1931,33.9
Duluth: Wisconsin No. 38,-7.3,1931,31.6
University Farm: Wisconsin No. 38,-3.3,1931,39.3
Duluth: Peatland,-1.9,1931,32
Waseca: Wisconsin No. 38,-1,1931,58.8
University Farm: Manchuria,-0.4,1931,27
Morris: Trebi,6.4,1931,43.8
University Farm: No. 475,21.5,1931,24.7
Morris: Glabron,21.9,1931,28.8
Morris: Manchuria,25.5,1931,27.4
Morris: Svansota,35.7,1931,25.8
Grand Rapids: Velvet,40,1931,23
Morris: Peatland,44.5,1931,29.9
Morris: Velvet,48.7,1931,26.1
Morris: No. 457,51.6,1931,28.7
Morris: No. 462,54.6,1931,30.4
Morris: Wisconsin No. 38,60,1931,29.5
Morris: No. 475,95.6,1931,22.6
Grand Rapids: Glabron,-50.5,1932,14.4
Crookston: Svansota,-49.1,1932,20.6
Grand Rapids: Svansota,-44.1,1932,16.6
Grand Rapids: Wisconsin No. 38,-40,1932,20.7
Grand Rapids: No. 457,-39.4,1932,19.5
Crookston: Peatland,-39.4,1932,25.2
University Farm: No. 457,-39,1932,26.4
Crookston: No. 462,-37.2,1932,30.5
Grand Rapids: Manchuria,-33,1932,22.1
University Farm: Velvet,-32.8,1932,26.8
Duluth: No. 457,-32.4,1932,22.7
Waseca: No. 462,-32.1,1932,44.7
Waseca: Glabron,-31.7,1932,37.7
Waseca: Manchuria,-31.5,1932,33.5
Crookston: Glabron,-31.2,1932,26.2
Grand Rapids: Trebi,-30.9,1932,20.6
University Farm: No. 462,-30.1,1932,25.6
Crookston: Wisconsin No. 38,-28.1,1932,35.9
Waseca: No. 457,-27.4,1932,42.2
Crookston: No. 475,-27.2,1932,32.1
Waseca: Peatland,-25.9,1932,36
Waseca: Velvet,-25.5,1932,37.4
Crookston: No. 457,-24.9,1932,34.3
Waseca: Trebi,-22.9,1932,49.2
Grand Rapids: No. 475,-22.8,1932,15.2
Grand Rapids: Peatland,-22.8,1932,26.8
Crookston: Velvet,-22.3,1932,32.1
Duluth: Manchuria,-22.1,1932,22.6
University Farm: Svansota,-21.9,1932,27.4
University Farm: Trebi,-20.5,1932,29.1
Grand Rapids: No. 462,-20.1,1932,19.9
Duluth: No. 462,-19.9,1932,22.5
Waseca: Svansota,-18.6,1932,38.5
Crookston: Manchuria,-17.3,1932,33
Duluth: No. 475,-17.2,1932,27.4
University Farm: Glabron,-14.6,1932,36.8
Duluth: Velvet,-14.4,1932,22.5
University Farm: Peatland,-14.3,1932,28.1
Duluth: Svansota,-13.6,1932,22.2
Duluth: Glabron,-12.8,1932,25.9
Waseca: No. 475,-11.8,1932,41.3
Crookston: Trebi,-10.9,1932,41.8
Duluth: Trebi,-9.7,1932,30.6
Duluth: Wisconsin No. 38,-7.3,1932,29.3
University Farm: Wisconsin No. 38,-3.3,1932,38
Duluth: Peatland,-1.9,1932,31.4
Waseca: Wisconsin No. 38,-1,1932,58.2
University Farm: Manchuria,-0.4,1932,26.9
Morris: Trebi,6.4,1932,46.6
University Farm: No. 475,21.5,1932,30
Morris: Glabron,21.9,1932,35.1
Morris: Manchuria,25.5,1932,34.4
Morris: Svansota,35.7,1932,35
Grand Rapids: Velvet,40,1932,32.2
Morris: Peatland,44.5,1932,43.2
Morris: Velvet,48.7,1932,38.8
Morris: No. 457,51.6,1932,43.5
Morris: No. 462,54.6,1932,47
Morris: Wisconsin No. 38,60,1932,47.2
Morris: No. 475,95.6,1932,44.2
